key;Español;English;Portugês;Français;Deutsch;Italiano;日本語;Nyan
app_title;PinkCat AutoCalendario;PinkCat AutoCalendar;PinkCat AutoCalendário;PinkCat AutoCalendrier;PinkCat AutoKalender;PinkCat AutoCalendario;PinkCat 自動カレンダー;PinkCat AutoNyaandario
layout_indicator;Diseño;Layout;Layout;Mise en page;Layout;Layout;レイアウト;Nyayout
nav_today;Hoy;Today;Hoje;Aujourd'hui;Heute;Oggi;今日;Nyaan
nav_year_prev;◀ Año;◀ Year;◀ Ano;◀ Année;◀ Jahr;◀ Anno;◀ 前年;◀ Nyaan
nav_year_next;Año ▶;Year ▶;Ano ▶;Année ▶;Jahr ▶;Anno ▶;次年 ▶;Nyaan ▶
nav_dark_mode;Oscuro;Dark;Escuro;Sombre;Dunkel;Scuro;ダークモード;Nyan-miau
month_january;Enero;January;Janeiro;Janvier;Januar;Gennaio;1月;Nyan-1
month_february;Febrero;February;Fevereiro;Février;Februar;Febbraio;2月;Nyan-2
month_march;Marzo;March;Março;Mars;März;Marzo;3月;Nyan-3
month_april;Abril;April;Abril;Avril;April;Aprile;4月;Nyan-4
month_may;Mayo;May;Maio;Mai;Mai;Maggio;5月;Nyan-5
month_june;Junio;June;Junho;Juin;Juni;Giugno;6月;Nyan-6
month_july;Julio;July;Julho;Juillet;Juli;Luglio;7月;Nyan-7
month_august;Agosto;August;Agosto;Août;August;Agosto;8月;Nyan-8
month_september;Septiembre;September;Setembro;Septembre;September;Settembre;9月;Nyan-9
month_october;Octubre;October;Outubro;Octobre;Oktober;Ottobre;10月;Nyan-10
month_november;Noviembre;November;Novembro;Novembre;November;Novembre;11月;Nyan-11
month_december;Diciembre;December;Dezembro;Décembre;Dezember;Dicembre;12月;Nyan-12
weekday_mon;Lun;Mon;Seg;Lun;Mo;Lun;月;Mrr
weekday_tue;Mar;Tue;Ter;Mar;Di;Mar;火;Meow
weekday_wed;Mié;Wed;Qua;Mer;Mi;Mer;水;Purr
weekday_thu;Jue;Thu;Qui;Jeu;Do;Gio;木;Nya
weekday_fri;Vie;Fri;Sex;Ven;Fr;Ven;金;Nyan
weekday_sat;Sáb;Sat;Sáb;Sam;Sa;Sab;土;Miau
weekday_sun;Dom;Sun;Dom;Dim;So;Dom;日;Rawr
panel_title;Cursos este mes;Courses this month;Cursos este mês;Cours ce mois-ci;Kurse diesen Monat;Corsi questo mese;今月のコース;Nyans este mes-miau
panel_empty;Sin cursos este mes.;No courses this month.;Sem cursos este mês.;Aucun cours ce mois-ci.;Keine Kurse diesen Monat.;Nessun corso questo mese.;今月のコースはありません。;Sin nyans este mes, purr...
panel_add;📋 Acción formativa;📋 Add course;📋 Ação de formação;📋 Action de formation;📋 Schulung;📋 Azione formativa;📋 研修追加;📋 Nyan formativo
panel_edit;✏️Editar;✏️Edit;✏️Editar;✏️Modifier;✏️Bearbeiten;✏️Modifica;✏️編集;✏️Meow-dificar
panel_delete;🗑 Eliminar;🗑 Delete;🗑 Excluir;🗑 Supprimer;🗑 Löschen;🗑 Elimina;🗑 削除;🗑 Nyan-liminar
status_active_courses;curso(s) activos en;active course(s) in;curso(s) ativos em;cours actif(s) dans;aktive(r) Kurs(e) in;corso(i) attivo(i) in;のアクティブなコース;nyan(s) activos en-miau
status_sessions;sesión(es);session(s);sessão(ões);session(s);Sitzung(en);sessione(i);セッション;miau-sesión(es)
status_conflicts;conflicto(s);conflict(s);conflito(s);conflit(s);Konflikt(e);conflitto(i);競合;miau-conflicto(s)
dialog_new_title;Nueva Acción Formativa;New Training Action;Nova Ação Formativa;Nouvelle action de formation;Neue Schulungsmaßnahme;Nuova azione formativa;新しい研修アクション;Nueva Nyan-Formativa
dialog_edit_title;Editar Acción Formativa;Edit Training Action;Editar Ação Formativa;Modifier l’action de formation;Schulungsmaßnahme bearbeiten;Modifica azione formativa;研修アクションを編集;Editar Nyan-Formativa
dialog_section_details;Datos del curso;Course details;Dados del curso;Détails du cours;Kursdetails;Dettagli del corso;コース詳細;Datos del miau-curso
dialog_name;Nombre del curso;Course name;Nome do curso;Nom du cours;Kursname;Nome del corso;コース名;Nombre del nyan
